repo_name, username, Id, Title, Creator, Assignee, Label, Milestone, State, Body Text
GuessingGame, Pimwalun, 2, the java doc or any comment should alongside with the code, kamontat, -, -, -, OPEN, Example:

```java
/**
 * This is main method.
 */
public static void main(String[] args) {
    System.out.println("Hello World");
}
```
GuessingGame, Pimwalun, 1, package name should be all lower-case, kamontat, -, -, -, OPEN, -
